record_id,cited_intake_markers_and_metrics,confidence_level_from_source_type,contraindications,created,created_by,effect_strength,effect_strength_note,id,intake_markers_raw,intake_metrics_raw,last_modified,last_modified_by,link,name_title,pmids,recommendation,recommendations_v2,ref_check,screening_compliance,source,source_type,summary,therapeutics_matrix
rec6WdSiOY2f3CmQe,,Anecdotal,,2025-07-28T18:08:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,Clinical and mechanistic studies support reduction in inflammation and mental health improvements; long‑term clinical trials limited.,LI011,,,2025-07-28T18:38:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://cdn.mdedge.com/files/s3fs-public/aclm_2022_final_set_0.pdf,Lifestyle Medicine and Stress Management,PMID: 35389841,,,True,,The Journal of Family Practice,recYhFTRFUPeMb1fL,"Highlights importance of stress reduction (meditation, mindfulness, social support) in lifestyle medicine.",
recdQsJFFTK7zZFmm,,Anecdotal,,2025-07-28T18:08:45.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,Based on expert Delphi process and clinical experience; not driven by RCT outcomes.,LI012,,,2025-07-28T18:38:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://journals.sagepub.com/doi/10.1177/15598276231202970,American College of Lifestyle Medicine Expert Consensus Statement: Lifestyle Medicine for Optimal Outcomes in Primary Care,PMID: 38559790,,,True,,American College of Lifestyle Medicine,recYhFTRFUPeMb1fL,"Consensus recommendations to integrate lifestyle medicine into primary care (six‑pillar model, clinician training).",
rec4FGgf9RNdUhODC,,Anecdotal,,2025-07-28T18:08:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,"The tool is educationally useful, but lacks validated clinical trials linking score to health outcomes.",LI013,,,2025-07-28T18:38:02.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://gutbites.org/wp-content/uploads/2024/12/NCS-at-a-Glance-4.pdf,NUTRIENT CONSUME SCORE at a Glance,,,,True,,,recYhFTRFUPeMb1fL,Dietary quality scoring tool to guide healthier eating choices based on nutrient intake.,
recVxtcVC62AM528G,,Moderate,,2025-07-28T18:08:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,"Dose-response data show consistent reductions in mortality, T2D, CVD, cognitive decline with increasing walking. (PubMed, PMC)",LI014,,,2025-07-28T18:40:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://link.springer.com/article/10.1007/s11357-023-00873-8,The multifaceted benefits of walking for healthy aging: from Blue Zones to molecular mechanisms,PMID: 37495893,,,True,,GeroScience,recuux8z8gb0e5MPU,"Review of walking’s cardiovascular, metabolic, cognitive, and longevity benefits including mechanistic insights.",
rec4dcu2mt298Spa8,,Moderate,,2025-07-28T18:08:46.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,"Significant associations in neuropathologic-confirmed cohorts; causality not proven. (News-Medical, Nature)",LI015,,,2025-07-28T18:41:01.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://jamanetwork.com/journals/jamaneurology/fullarticle/2814688,Healthy Lifestyle and Cognition in Older Adults With Common Neuropathologies of Dementia,PMID: 38315471,,,True,,JAMA,recODsYatCgd7j2Vr,Cohort data showing healthy lifestyles linked to better cognition even with Alzheimer’s pathology present.,
recFgfMdD7fP1FoFl,"LDL, ApoB, Total Cholesterol, Triglycerides, hsCRP",High,,2025-06-03T21:31:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,19% reduction in CHD events when saturated fat replaced with PUFA,LI016,"recBA3iQ4lGJtC2nM, recw2hqgZfllcjFso, recDBJLAkc5CAfBm3, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh",,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000252,Effects on Coronary Heart Disease of Increasing Polyunsaturated Fat in Place of Saturated Fat: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,PMID: 20351774,"recHzb6cKfnSgyEzu, rec949y9L8RuJ25yP, recIRf5TBEMboKqVm","recL0zctdlOG9ciJL, recdvxEqeeiiCGJI6, recMiDba4KdZho45D",True,,PLoS One,recRIfCU2PF5bhkmW,Systematic review and meta-analysis of RCTs showing that replacing saturated fat with polyunsaturated fat reduces CHD risk by ~19%.,
rec5OI0Ed5fbJiJeC,"LDL, ApoB, Total Cholesterol, Triglycerides, hsCRP, Fasting Glucose, Fasting Insulin, HOMA-IR, BMI",High,recMORgJhxNNgSxe0,2025-06-03T21:31:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,30% reduction in CV events in high-risk individuals on Mediterranean diet vs. control,LI017,"recBA3iQ4lGJtC2nM, recw2hqgZfllcjFso, recDBJLAkc5CAfBm3, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI",reccxH7AESy9vvBPo,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://www.nejm.org/doi/10.1056/NEJMoa1800389?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts,PMID: 29897866,"recHzb6cKfnSgyEzu, rec949y9L8RuJ25yP, recIRf5TBEMboKqVm","recL0zctdlOG9ciJL, recdvxEqeeiiCGJI6, recMiDba4KdZho45D",True,,The New England Journal of Medicine,reclYXy0udvjr66Xa,Corrected RCT showing that a Mediterranean diet with extra-virgin olive oil or nuts significantly reduced major cardiovascular events (~30%) in high-risk adults.,
recNVh2E7o0SHwcbc,"LDL, ApoB, Total Cholesterol, Triglycerides, hsCRP, Fasting Glucose, Fasting Insulin, HOMA-IR",High,,2025-06-03T21:31:05.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,Statistically significant reductions in CRP and IL-6 with PUFA and MUFA intake,LI018,"recBA3iQ4lGJtC2nM, recw2hqgZfllcjFso, recDBJLAkc5CAfBm3, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI","recELBnyZAf0mIQH6, recSy02sgRnjfOkHE",2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://pmc.ncbi.nlm.nih.gov/articles/PMC4198773/,"Monounsaturated fatty acids, olive oil and health status: a systematic review and meta-analysis of cohort studies",PMID: 25274026,"recHzb6cKfnSgyEzu, rec949y9L8RuJ25yP, recIRf5TBEMboKqVm","recL0zctdlOG9ciJL, recdvxEqeeiiCGJI6, recMiDba4KdZho45D",True,,PubMed,rec4qqncSQrMbfAph,"Systematic review linking high unsaturated fat intake to lower markers of systemic inflammation (CRP, IL-6).",
recZ6C0tsTPiDOfwE,"Fasting Glucose, Fasting Insulin, HOMA-IR, HbA1c, Total Cholesterol, LDL, Blood Pressure - Systolic, Blood Pressure - Diastolic, hsCRP",High,,2025-06-09T00:20:57.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,~9% CVD risk reduction per 7g fiber/day from pooled trial evidence,LI019,"recBA3iQ4lGJtC2nM, recw2hqgZfllcjFso, recPiW3K4dhWi31Xh, recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI","recELBnyZAf0mIQH6, recSy02sgRnjfOkHE",2025-10-01T16:25:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://pmc.ncbi.nlm.nih.gov/articles/PMC9511151/,Associations between dietary fiber intake and cardiovascular risk factors: An umbrella review of meta-analyses of randomized controlled trials,PMID: 36172520,"rec51TDeLYX6vOI1v, recj4S8iGZ5mXx4NS, recu8nVY5FrP2YCVR, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD, rec9qkWiu9H6o4rZk","rec9shJve4oUosmbM, recnvgez95waQbIX9, recyzL1fyLSDVCg58, recQGhqpbZNfyn2G8, recDzEG37NloR565F, reczWqNcJQXghlR0U",True,,PubMed,reccTfrcrIEsBwBO4,Every 7 g/day increase in total fiber (including soluble) correlates with a ~9% reduction in cardiovascular disease (CVD) risk,"recLSE9drrQavNmkC, recFE14qL0S8sFnSB"
rec2IGmKG5X9WXA7w,"HbA1c, Fasting Glucose, HOMA-IR, BMI",Moderate,,2025-06-09T00:20:58.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,"Clinically relevant reductions in HbA1c, glucose, insulin resistance, and BMI",LI020,"recC0mB1LyNGjDyld, recf4HtvFUqMhyhdh, recAdUWMgWMZS3qKI",reccxH7AESy9vvBPo,2025-10-01T16:25:22.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://www.clinicalnutritionjournal.com/article/S0261-5614(20)30575-6/abstract,Effects of soluble fiber supplementation on glycemic control in adults with type 2 diabetes mellitus: A systematic review and meta-analysis of randomized controlled trials,PMID: 33162192,"rec51TDeLYX6vOI1v, recj4S8iGZ5mXx4NS, recu8nVY5FrP2YCVR, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD, rec9qkWiu9H6o4rZk","rec9shJve4oUosmbM, recnvgez95waQbIX9, recyzL1fyLSDVCg58, recQGhqpbZNfyn2G8, recDzEG37NloR565F, reczWqNcJQXghlR0U",True,,Clinical Nutrition,reclqQn6EV0azXdYf,"Soluble fiber supplements reduce HbA1c by 0.63%, fasting glucose by ~0.9 mmol/L, HOMA-IR (insulin resistance) by about 0.58, and BMI by –0.31 kg/m²","recLSE9drrQavNmkC, recFE14qL0S8sFnSB"
recf93QJMEMOKjUWm,"LDL, ApoB",Moderate,,2025-06-09T00:20:59.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,"Robust LDL, apoB, and non-HDL cholesterol reduction at clinically relevant dosages",LI021,"recw2hqgZfllcjFso, receYj9nbAEGPBxFl",,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/effect-of-oat-glucan-on-ldlcholesterol-nonhdlcholesterol-and-apob-for-cvd-risk-reduction-a-systematic-review-and-metaanalysis-of-randomisedcontrolled-trials/60A75CB215602240E9363D49DCB690ED,"The effect of oat β-glucan on LDL-cholesterol, non-HDL-cholesterol and apoB for CVD risk reduction: a systematic review and meta-analysis of randomised-controlled trials",PMID: 27724985,"rec51TDeLYX6vOI1v, recj4S8iGZ5mXx4NS, recu8nVY5FrP2YCVR, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD","rec9shJve4oUosmbM, recnvgez95waQbIX9, recyzL1fyLSDVCg58, recQGhqpbZNfyn2G8, recDzEG37NloR565F, reczWqNcJQXghlR0U",True,,Cambridge University,reclqQn6EV0azXdYf,"Intake of ≥3 g/day oat β‑glucan significantly lowers LDL, non–HDL cholesterol, and apoB across randomized controlled trials",
recbJUBCTioWkdQ6B,VO2 Max,Moderate,,2025-06-09T00:21:00.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,Small sample but measurable improvements in aerobic markers from Zone 2-based training.,LI022,,rec0v0JrVS6xu5Dcj,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://pmc.ncbi.nlm.nih.gov/articles/PMC6355121/,Heart Rate Acquisition and Threshold-Based Training Increases oxygen uptake at metabolic threshold in triathletes: a pilot study,PMID: 30761193,"recyCjSxWdLGZfHwI, recqj8q9IIWoThFkG, recx4JdeaTZgIVoZ3, recMPyaQMbpvDB4Fg, recmj7oZJyT7b1Zct, rec8Pb6zZXqqJdl8w","recC3HYOpjcuSTlGZ, recuKwwqbOncMVjuX, recBv7jvDZq4Bz29k, recQgWg7fhQjwfIPx, recqKvugcEkV4FDmK, reccgzcQs3ReCRZiN",True,,PubMed,recUA6YRlFh3Dsje5,Threshold-based aerobic training (Zone 2) improved VO2max and metabolic threshold in triathletes over an 8-week protocol.,
recIAReXwwNzDc7gX,"Fasting Glucose, Fasting Insulin, HOMA-IR, HDL, Triglycerides, hsCRP",Moderate,,2025-06-10T00:31:51.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,Mechanistic support for Zone 2 as the optimal fat oxidation and lactate threshold zone.,LI023,"recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, recPiW3K4dhWi31Xh, recf4HtvFUqMhyhdh, recierVNozpgZdLZH, recAdUWMgWMZS3qKI",recVHWlB26jWt9Ij9,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://escholarship.org/uc/item/5cz1v976,"Assessment of metabolic flexibility by means of measuring blood lactate, fat, and carbohydrate oxidation responses to exercise",PMID: 28623613,"recyCjSxWdLGZfHwI, recqj8q9IIWoThFkG, recx4JdeaTZgIVoZ3, recMPyaQMbpvDB4Fg, recmj7oZJyT7b1Zct, rec8Pb6zZXqqJdl8w","recC3HYOpjcuSTlGZ, recuKwwqbOncMVjuX, recBv7jvDZq4Bz29k, recQgWg7fhQjwfIPx, recqKvugcEkV4FDmK, reccgzcQs3ReCRZiN",True,,UC Berkeley,reclqQn6EV0azXdYf,Zone 2 intensity promotes metabolic flexibility via fat oxidation and lactate suppression in both elite and less-fit athletes.,
recn5E9AOd7x4wlxI,"LDL, HDL, Triglycerides, hsCRP, ApoB",Moderate,,2025-06-10T00:41:25.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",moderate,Highlights Zone 2-type adaptations as a foundational trait in metabolically healthy individuals.,LI024,"recw2hqgZfllcjFso, recq0JX3QgFBo5mm4, recDBJLAkc5CAfBm3, receYj9nbAEGPBxFl, recPiW3K4dhWi31Xh","recVHWlB26jWt9Ij9, rec0v0JrVS6xu5Dcj",2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://pmc.ncbi.nlm.nih.gov/articles/PMC5513193/,Metabolic flexibility in health and disease,PMID: 28467922,"recyCjSxWdLGZfHwI, recqj8q9IIWoThFkG, recx4JdeaTZgIVoZ3, recMPyaQMbpvDB4Fg, recmj7oZJyT7b1Zct, rec8Pb6zZXqqJdl8w","recC3HYOpjcuSTlGZ, recuKwwqbOncMVjuX, recBv7jvDZq4Bz29k, recQgWg7fhQjwfIPx, recqKvugcEkV4FDmK, reccgzcQs3ReCRZiN",True,,PubMed,recuux8z8gb0e5MPU,Fat oxidation and metabolic switching are key longevity biomarkers—enhanced through Zone 2 cardio intensity.,
recgnnM5MBKJjYDmF,,High,,2025-06-10T00:41:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,"Short and long sleep linked to 1.1–1.3x higher risk for stroke, CHD, diabetes, and death",LI025,,recxJqmq5ipZMLJsj,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://pubmed.ncbi.nlm.nih.gov/34435311/,Sleep duration and health outcomes: an umbrella review,PMID: 34435311,"recbbFVlKZwQNf0EX, recXuOWpl8orK06ul, recrAMEvn6TQqpIMf","recfC31Cd5XEGTEOe, rec1Vc2GOePfDEKEC, recv1aKMQckEj3mWw",True,,PubMed,recA1EVfrjrmEMho8,"Systematic synthesis of 69 meta-analyses showing both short (<7 h) and long (>9 h) sleep durations are associated with increased risk for cardiovascular disease, diabetes, depression, and all-cause mortality.",
recv9Z6URcMhhsDlz,,Moderate,,2025-06-10T00:41:26.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",significant,Higher sleep regularity predicted longevity more than sleep duration alone,LI026,,recxJqmq5ipZMLJsj,2025-09-27T13:14:27.000Z,"{""id"": ""usrdgG7vRV8iqukqL"", ""email"": ""keegankdolan@gmail.com"", ""name"": ""Keegan Dolan""}",https://link.springer.com/article/10.1007/s11325-021-02458-1,Sleep regularity is a stronger predictor of mortality risk than sleep duration: A prospective cohort study,PMID: 37738616,recrAMEvn6TQqpIMf,recv1aKMQckEj3mWw,True,,PubMed,recDDHykOzWxwMnyv,"Analysis of 60,000+ UK Biobank participants found that individuals with more regular sleep schedules had 20–48% lower all-cause mortality risk compared to the most irregular group.",
